Sample	Raw	f1.trim1	f1.trim2	f2.trim1	f2.trim2	b.trim1	b.trim2
P02_09_G	14619	1	0	14392	14384	4	0
P02_04_B	15	0	0	10	0	4	0
P03_02_D	29967	0	0	0	0	29173	29172
P03_01_B	26379	0	0	0	0	25727	25724
P05_03_D	13423	1	0	0	0	13215	13215
P05_01_D	735	1	0	0	0	719	719
P03_08_G	19830	0	0	0	0	18828	18828
P05_03_A	9220	0	0	0	0	9132	9131
P02_07_F	10053	0	0	9916	9911	2	0
P02_07_B	29237	1	0	28860	28854	1	0
P03_02_B	25	0	0	0	0	18	0
P02_09_D	7871	0	0	7757	7755	2	0
P04_08_B	25125	1	0	24711	24708	6	0
P05_02_B	176	1	0	0	0	169	169
P05_02_F	3926	0	0	0	0	3852	3851
P01_06_F	38731	38215	38215	2	0	1	0
P02_01_A	35573	0	0	35053	35038	6	0
P03_09_F	31960	0	0	0	0	30396	30395
P01_01_G	24259	23868	23867	1	0	13	0
P03_11_D	24672	0	0	0	0	24426	24426
P02_06_D	12737	0	0	12543	12542	9	0
P03_02_F	39938	2	0	2	0	39325	39323
P04_09_B	8415	1	0	8283	8260	7	0
P02_01_H	22192	2	0	21850	21846	2	0
P04_11_B	17	0	0	5	0	7	0
P03_08_H	16347	0	0	0	0	15552	15549
P01_07_B	26712	26353	26353	0	0	1	0
P03_07_D	28715	0	0	1	0	28320	28318
P02_05_D	21293	0	0	20977	20973	3	0
P02_05_F	22081	0	0	21836	21829	0	0
P03_10_B	28610	0	0	2	0	28286	28286
P03_06_A	18646	0	0	1	0	18046	18045
P02_11_A	25986	0	0	25639	25630	4	0
P03_02_G	27066	0	0	0	0	26716	26715
P02_03_G	10466	1	0	10315	10313	2	0
P02_09_C	24513	0	0	24120	24119	6	0
P02_08_C	21786	0	0	21480	21476	1	0
P01_08_E	27622	26747	26745	0	0	491	491
P02_09_B	24748	0	0	24428	24424	2	0
P03_06_D	24365	1	0	0	0	23748	23748
P03_07_C	25665	0	0	1	0	25343	25340
P04_06_D	34669	5	0	34222	34222	2	0
P03_01_F	667	1	0	1	0	626	459
P03_01_C	24883	0	0	2	0	24049	24048
P04_06_E	15	5	0	8	0	1	0
P03_06_F	31018	1	0	1	0	30732	30730
P02_11_H	12515	0	0	12327	12325	3	0
P03_03_B	21	0	0	2	0	13	0
P03_09_E	28794	1	0	1	0	27555	27553
P02_08_F	26791	0	0	26363	26363	2	0
P04_12_F	12734	0	0	5	0	12574	12573
P01_03_H	32228	31728	31728	4	0	7	0
