"","Kingdom","Phylum","Class","Order","Family","Genus"
"OTU.1051","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Anabaena_XPORK15F"
"OTU.1052","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA
"OTU.1054","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"OTU.1057","Bacteria","Patescibacteria","Gracilibacteria",NA,NA,NA
"OTU.1060","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"OTU.1061","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","Fibrobacteraceae",NA
"OTU.1062","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae",NA
"OTU.1063","Bacteria","Chloroflexi","KD4-96",NA,NA,NA
"OTU.1064","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae",NA
"OTU.1065","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas"
"OTU.1066","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae","Desulforhopalus"
"OTU.1067","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"OTU.1068","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"OTU.1070","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hyphomonas"
"OTU.1072","Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA
"OTU.1073","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae",NA
"OTU.1074","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Acidiphilium"
"OTU.1077","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobacteraceae","Desulfatiferula"
"OTU.1078","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Phycicoccus"
"OTU.1080","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae",NA
"OTU.1081","Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"OTU.1082","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"OTU.1083","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","OLB12"
