"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU.585","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amorosiaceae","g__Angustimassarina","s__acerina"
"OTU.586","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.587","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.588","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Torulaspora","s__delbrueckii"
"OTU.589","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.590","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.591","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.592","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.593","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__capitatum"
"OTU.594","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia",NA
"OTU.597","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU.598","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","s__vesicarium"
"OTU.599","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.600","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"OTU.602","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.603","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.604","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia",NA
"OTU.605","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Schizoporaceae","g__Xylodon",NA
"OTU.607","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.608","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.609","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.611","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Sporidiobolales","f__Sporidiobolaceae","g__Sporobolomyces",NA
"OTU.615","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU.617","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"OTU.619","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.621","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__tormentillae"
"OTU.622","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Coprinellus","s__micaceus"
"OTU.623","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Hymenoscyphus",NA
"OTU.624","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Rhynchogastremataceae","g__Papiliotrema","s__frias"
"OTU.625","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU.626","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae","g__Preussia","s__tetramera"
"OTU.627","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.628","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.629","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Myriangiales_fam_Incertae_sedis",NA,NA
"OTU.630","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.631","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"OTU.632","k__Fungi","p__Chytridiomycota","c__Rhizophydiomycetes","o__Rhizophydiales","f__Rhizophydiales_fam_Incertae_sedis","g__Operculomyces","s__laminatus"
"OTU.633","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Tremellaceae","g__Tremella","s__phaeophysciae"
"OTU.634","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus"
"OTU.635","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Thelebolales","f__Pseudeurotiaceae",NA,NA
"OTU.636","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.637","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus"
"OTU.639","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU.640","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.641","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.642","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.644","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae",NA,NA
"OTU.645","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Celosporium",NA
"OTU.647","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.648","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__eucalyptorum"
"OTU.649","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Neobulgaria",NA
"OTU.650","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Dermateaceae",NA,NA
"OTU.651","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.655","k__Fungi","p__Ascomycota","c__Arthoniomycetes","o__Lichenostigmatales","f__Phaeococcomycetaceae","g__Phaeococcomyces","s__mexicanus"
"OTU.656","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae",NA,NA
"OTU.658","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.660","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__ellisii"
"OTU.661","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.662","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales","f__Agaricostilbaceae","g__Pseudobensingtonia","s__ingoldii"
"OTU.663","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora",NA
"OTU.665","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.666","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellales_fam_Incertae_sedis",NA,NA
"OTU.667","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Sporormiaceae",NA,NA
"OTU.668","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.670","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__heimaeyensis"
"OTU.671","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales",NA,NA,NA
"OTU.672","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Amniculicolaceae","g__Murispora","s__hawksworthii"
"OTU.673","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.674","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.675","k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina","s__pruni"
"OTU.676","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Pseudoanungitea","s__vaccinii"
"OTU.677","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.678","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.679","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.680","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__dimennae"
"OTU.681","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Holtermanniales","f__Holtermanniales_fam_Incertae_sedis","g__Holtermanniella","s__takashimae"
"OTU.682","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Udeniomyces","s__megalosporus"
"OTU.683","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.684","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.685","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae",NA,NA
"OTU.686","k__Fungi","p__Rozellomycota",NA,NA,NA,NA,NA
"OTU.687","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"OTU.689","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.690","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellales_fam_Incertae_sedis","g__Sistotrema","s__oblongisporum"
"OTU.691","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.692","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.693","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__elongata"
"OTU.694","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Morchellaceae","g__Morchella","s__sextelata"
"OTU.695","k__Fungi","p__Ascomycota","c__Dothideomycetes",NA,NA,NA,NA
"OTU.696","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.697","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__salmonis"
"OTU.698","k__Fungi","p__Basidiomycota","c__Exobasidiomycetes","o__Entylomatales","f__Entylomataceae","g__Entyloma","s__holwayi"
"OTU.699","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Lophiostoma","s__multiseptatum"
"OTU.700","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.701","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.702","k__Fungi","p__Ascomycota","c__Orbiliomycetes","o__Orbiliales","f__Orbiliaceae","g__Arthrobotrys","s__brochopaga"
"OTU.703","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Leucosporidiales","f__Leucosporidiaceae","g__Leucosporidium","s__intermedium"
"OTU.705","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Spirosphaera","s__cupreorufescens"
"OTU.706","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.707","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.708","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellales_fam_Incertae_sedis","g__Sistotrema","s__autumnale"
"OTU.709","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU.710","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.711","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Naohideales","f__Naohideaceae","g__Naohidea","s__sebacea"
"OTU.712","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Ochroconis",NA
"OTU.713","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.714","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis",NA,NA
"OTU.715","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Psathyrellaceae","g__Parasola",NA
"OTU.717","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Dematiopleospora","s__rosicola"
"OTU.718","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Kotlabaea",NA
"OTU.720","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.721","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Phoma",NA
"OTU.722","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Sarcinomyces","s__crustaceus"
"OTU.723","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.724","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales",NA,NA,NA
"OTU.725","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Ceratobasidium",NA
"OTU.726","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.727","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Ceratobasidiaceae","g__Rhizoctonia",NA
"OTU.728","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Microascales","f__Halosphaeriaceae","g__Cirrenalia","s__iberica"
"OTU.729","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.732","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU.733","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.734","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora","s__minutissima"
"OTU.737","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.738","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.739","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"OTU.740","k__Fungi","p__Basidiomycota","c__Microbotryomycetes","o__Microbotryomycetes_ord_Incertae_sedis","f__Microbotryomycetes_fam_Incertae_sedis","g__Curvibasidium","s__cygneicollum"
"OTU.742","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__lilacinogrisea"
"OTU.743","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lindgomycetaceae","g__Clohesyomyces","s__aquaticus"
"OTU.746","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__slooffiae"
"OTU.747","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.748","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU.749","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.751","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU.752","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.754","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Diaporthaceae","g__Diaporthe","s__nothofagi"
"OTU.755","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.756","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Filobasidium","s__oeirense"
"OTU.757","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Massarinaceae","g__Stagonospora","s__pseudovitensis"
"OTU.758","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.759","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU.760","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.762","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU.763","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Phaeotremellaceae","g__Phaeotremella",NA
"OTU.764","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.765","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae",NA,NA
"OTU.766","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU.767","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.768","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.769","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.771","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.772","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.773","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.774","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.775","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Paraleptosphaeria","s__dryadis"
"OTU.776","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.777","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.778","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Sarcosomataceae","g__Donadinia","s__nigrella"
"OTU.779","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.781","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.782","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Leotiaceae","g__Neobulgaria",NA
"OTU.784","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.785","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.786","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales",NA,NA,NA
"OTU.787","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.788","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae",NA,NA
"OTU.789","k__Fungi","p__Basidiomycota","c__Pucciniomycetes","o__Pucciniales","f__Pucciniaceae","g__Uromyces","s__pisi-sativi"
"OTU.790","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales",NA,NA,NA
"OTU.791","k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiomycetes_ord_Incertae_sedis","f__Symmetrosporaceae","g__Symmetrospora","s__coprosmae"
"OTU.792","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes",NA,NA,NA,NA
"OTU.793","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Hymenogastraceae","g__Hymenogaster","s__rubyensis"
"OTU.794","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.795","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales","f__Cantharellales_fam_Incertae_sedis","g__Sistotrema","s__sernanderi"
"OTU.796","k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Hypocreales_fam_Incertae_sedis","g__Acremonium","s__rutilum"
"OTU.797","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.799","k__Fungi","p__Ascomycota","c__Pezizomycetes","o__Pezizales","f__Pyronemataceae","g__Tricharina","s__praecox"
"OTU.800","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.801","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.802","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Cantharellales",NA,NA,NA
"OTU.803","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae","g__Ochroconis",NA
"OTU.804","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU.807","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.808","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.809","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Exophiala","s__heteromorpha"
"OTU.811","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"OTU.812","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Ascocoryne","s__sarcoides"
"OTU.813","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae",NA,NA
"OTU.815","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.817","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.818","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.819","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.821","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Chaetothyriales_fam_Incertae_sedis","g__Sarcinomyces","s__crustaceus"
"OTU.822","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Phaeomarasmius","s__erinaceus"
"OTU.823","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mytilinidiales","f__Mytilinidiaceae","g__Lophium","s__mytilinum"
"OTU.824","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.826","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Leptosphaeriaceae","g__Plenodomus","s__biglobosus"
"OTU.827","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.828","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__globispora"
"OTU.829","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae","g__Penidiella","s__ellipsoidea"
"OTU.830","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Trichomerium","s__dioscoreae"
"OTU.831","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.832","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia","s__hungarica"
"OTU.834","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Sympoventuriaceae",NA,NA
"OTU.835","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Teratosphaeriaceae",NA,NA
"OTU.837","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.838","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.839","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.840","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Ganodermataceae","g__Ganoderma","s__oregonense"
"OTU.842","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.843","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.845","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Strophariaceae","g__Tubaria","s__conspersa"
"OTU.846","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae",NA,NA
"OTU.847","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Hymenochaetales","f__Tubulicrinaceae","g__Tubulicrinis","s__glebulosus"
"OTU.848","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.849","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.850","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Holtermanniales","f__Holtermanniales_fam_Incertae_sedis","g__Holtermanniella","s__takashimae"
"OTU.852","k__Fungi","p__Basidiomycota","c__Agaricomycetes",NA,NA,NA,NA
"OTU.853","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Itersonilia","s__perplexans"
"OTU.854","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.855","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.856","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Aleurodiscus","s__grantii"
"OTU.857","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Cladophialophora",NA
"OTU.858","k__Fungi","p__Basidiomycota","c__Agaricostilbomycetes","o__Agaricostilbales",NA,NA,NA
"OTU.859","k__Fungi","p__Ascomycota","c__Eurotiomycetes",NA,NA,NA,NA
"OTU.860","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Venturiales","f__Venturiaceae","g__Cylindrosympodium",NA
"OTU.861","k__Fungi","p__Basidiomycota","c__Tremellomycetes",NA,NA,NA,NA
"OTU.862","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Tetracladium",NA
"OTU.863","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia",NA
"OTU.864","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.865","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU.866","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.868","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.869","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Agaricales","f__Pluteaceae","g__Pluteus",NA
"OTU.870","k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Pezizella",NA
"OTU.871","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.872","k__Fungi","p__Basidiomycota",NA,NA,NA,NA,NA
"OTU.873","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Thelephorales","f__Thelephoraceae","g__Tomentella","s__ellisii"
"OTU.874","k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales",NA,NA,NA
"OTU.875","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"OTU.876","k__Fungi",NA,NA,NA,NA,NA,NA
"OTU.877","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Lophiostomataceae","g__Sigarispora","s__arundinis"
"OTU.878","k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Lecanorales","f__Ramalinaceae","g__Ramalina","s__farinacea"
"OTU.879","k__Fungi","p__Mortierellomycota","c__Mortierellomycetes","o__Mortierellales","f__Mortierellaceae","g__Mortierella","s__parvispora"
"OTU.880","k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Trechisporales","f__Hydnodontaceae","g__Trechispora","s__invisitata"
"OTU.881","k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"OTU.882","k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Mycosphaerellaceae",NA,NA
"OTU.884","k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"OTU.885","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Yamadazyma","s__mexicana"
